Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,WA6TEM,147.855000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
2,LOMA,146.640000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
3,LOMAWIN,442.900000,+,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,S,,,,,
4,W6UU,146.985000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
5,N6NFI,145.230000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
6,W6ASH,145.270000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
7,W6ASH2,440.800000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
8,AE6KE,146.835000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
9,LGARES1,147.390000,+,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
10,LGARES2,441.350000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
11,LGARES3,147.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,LGARES4,146.595000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,SJARES1,147.360000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
14,SJARES2,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
15,SJARES3,442.575000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
16,SJARES4,442.500000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
17,SJARES5,443.275000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
18,SJARES6,146.115000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
19,SJARES7,145.270000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
20,SJARES8,440.800000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
21,SJARES9,444.625000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
22,SJARES0,145.230000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
23,SCARES1,441.300000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
24,SCARES2,442.500000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
25,SCCFD,154.250000,off,0.000000,TSQL,162.2,162.2,023,NN,NFM,5.00,,,,,,
26,SCCFD41,154.175000,off,0.000000,TSQL,162.2,162.2,023,NN,NFM,5.00,,,,,,
27,SCCFD42,154.205000,off,0.000000,TSQL,179.9,179.9,023,NN,NFM,5.00,,,,,,
28,SCCFD43,154.145000,off,0.000000,TSQL,192.8,192.8,023,NN,NFM,5.00,,,,,,
29,SCCFD44,154.400000,off,0.000000,TSQL,110.9,110.9,023,NN,NFM,5.00,,,,,,
30,SCCFD45,153.905000,off,0.000000,TSQL,192.8,192.8,023,NN,NFM,5.00,,,,,,
31,SCCFD72,155.985000,off,0.000000,TSQL,179.9,179.9,023,NN,NFM,5.00,,,,,,
32,SCC EMS,453.100000,off,0.000000,TSQL,156.7,156.7,023,NN,NFM,5.00,,,,,,
33,SCC SO,156.210000,off,0.000000,TSQL,179.9,179.9,023,NN,NFM,5.00,,,,,,
34,LG PD,484.862500,off,0.000000,TSQL,127.3,127.3,023,NN,FM,5.00,,,,,,
35,LG PD2,464.687500,off,0.000000,TSQL,127.3,127.3,023,NN,FM,5.00,,,,,,
36,LG SAR,155.235000,off,0.000000,TSQL,127.3,127.3,023,NN,FM,5.00,,,,,,
37,SJ FD 1,155.025000,off,0.000000,TSQL,173.8,173.8,023,NN,FM,5.00,,,,,,
38,SJFDALL,155.925000,off,0.000000,TSQL,123.0,123.0,023,NN,FM,5.00,,,,,,
39,SJFD-N,153.980000,off,0.000000,TSQL,151.4,151.4,023,NN,FM,5.00,,,,,,
40,SJFD-S,154.115000,off,0.000000,TSQL,136.5,136.5,023,NN,FM,5.00,,,,,,
41,SJ SAR1,151.190000,off,0.000000,TSQL,162.2,162.2,023,NN,FM,5.00,,,,,,
42,SJ SAR2,150.805000,off,0.000000,TSQL,162.2,162.2,023,NN,FM,5.00,,,,,,
43,SJ SAR3,155.160000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,PGEEDEN,153.545000,off,0.000000,TSQL,103.5,103.5,023,NN,FM,5.00,,,,,,
45,PGEANZA,153.590000,off,0.000000,TSQL,103.5,103.5,023,NN,FM,5.00,,,,,,
121,WX1PA7,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
122,WX2PA1,162.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
123,WX3PA4,162.475000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
124,WX4PA2,162.425000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
125,WX5PA3,162.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
126,WX6PA5,162.500000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
127,WX7PA6,162.525000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
